sgRNA,Gene,DLD1-Cont2_P10.initial,DLD1-Cont2_P10.final
TET3_e9_138.1,TET3,2844,1591
FBXO38_6,FBXO38,2700,1119
ZSCAN4_E5_321.9,ZSCAN4,3830,2070
MAFA_E1_273.36,MAFA,2422,1651
SALL1_E2_2190.110,SALL1,2746,1517
ASB4_1281.72,ASB4,1706,597
ALG13_Tudor_E14_101.4,ALG13,1758,932
KLK14_804.7,KLK14,3980,2238
CDKL1_PKc_E2_122,CDKL1,488,226
KLHL32_BTB32137_E1_1863.17,KLHL32,2020,1364
MAP3K11_PKc_E2_181.2,MAP3K11,2054,1113
ZNF446_E7_69.1,ZNF446,1756,1002
SEBOX_E2_135.16,SEBOX,1784,1242
ZNF23_E6_1326.84,ZNF23,3712,1283
SIM1_E1_153.11,SIM1,958,487
E2F5_E1_87.0,E2F5,1550,1181
TULP1_E15_113.14,TULP1,2406,1380
ZBTB38_E8_2331.157,ZBTB38,3150,1683
ZNF791_E4_1428.87,ZNF791,6016,3440
ZNF236_Ex_357.40,ZNF236,2474,1232
ZNF584_E4_495.17,ZNF584,1478,756
MAP3K4_PKc_E21_71.2,MAP3K4,2258,1434
STUB1_696.4,STUB1,1008,615
MIB1_3021.200,MIB1,4814,2821
CPM_1332.116,CPM,1880,1203
SREBF1_E6_108.9,SREBF1,2154,661
BTBD6_BTB76183_E1_1458.28,BTBD6,2240,1711
TRAF7_2013.67,TRAF7,1482,946
MSX2_E2_177.15,MSX2,2166,1082
HMGXB4_E6_79.3,HMGXB4,4370,2593
BTBD19_BTB30123_E1_876.6,BTBD19,1180,548
TRIM62_1428.29,TRIM62,2634,1806
LHX8_E8_96.4,LHX8,1120,477
BLK_PKc_E10_77.4,BLK,1602,937
PSMB7_834.31,PSMB7,4188,1118
CUL2_2295.123,CUL2,1712,935
ZNF224_E6_1320.113,ZNF224,9614,5119
ZZZ3_E10_102.4,ZZZ3,2176,1276
ZZZ3_SANT_E10_102.4,ZZZ3,2176,1276
ELP3_e13_81.8,ELP3,2920,1910
RNF222_663.54,RNF222,2866,1614
UNKL_2052.342,UNKL,276,109
ABTB1_BTB273376_E1_1437.158,ABTB1,1234,814
TRIM72_1434.279,TRIM72,596,351
ZNF333_E12_972.3,ZNF333,3800,2189
POLR2A_e27.1,POLR2A,7344,3046
BPTF_Phd1_E2_129.8,BPTF,1174,758
SETDB1_E13_186.4,SETDB1,2412,1822
SETDB1_MBD_E13_186.4,SETDB1,2412,1822
HR_e17_165.25,HR,3040,1466
TRIM23_1725.15,TRIM23,2498,1645
PIAS3_1887.257,PIAS3,1512,1020
STUB1_696.45,STUB1,4422,3294
ACAT1_e8_96.1,ACAT1,4338,1920
ZNF813_E4_1236.50,ZNF813,2394,1520
HERC3_2799.160,HERC3,1170,669
USP30_1554.127,USP30,1702,999
SUV420H1_e6_45.0,SUV420H1,2508,1116
HOXA9_E2_171.4,HOXA9,3704,2409
PIAS1_Ex_220.2,PIAS1,5786,4188
PIAS1_1956.39,PIAS1,5786,4188
ZNF383_E5_969.42,ZNF383,2436,807
CCNF_2361.11,CCNF,430,370
TRIM10_1446.44,TRIM10,2018,1127
MARCH3_762.86,MARCH3,4048,2109
CSK_PKc_E7_61.3,CSK,1570,780
ATXN3L_1068.67,ATXN3L,2620,1198
FBXO5_1206.50,FBXO5,1686,435
RUNX3_E2_126.1,RUNX3,1514,1163
SPIN3_Spinlin210254_E1_777.59,SPIN3,1588,906
USP27X_1317.74,USP27X,1820,849
COMMD3_588.19,COMMD3,1416,453
USP32_4815.338,USP32,4208,2627
TRIM10_1446.28,TRIM10,4278,3003
POU4F3_E2_177.14,POU4F3,2000,954
ATAD2B_BD_e21_95.5,ATAD2B,6430,3053
SCPEP1_1359.94,SCPEP1,2024,1047
EEF2K_PKc_E7_150.5,EEF2K,1918,1330
RNF135_1299.209,RNF135,484,180
ADAMTS7_5061.1074,ADAMTS7,3864,1679
NEUROG1_E1_180.0,NEUROG1,5544,3849
STAT5A_E14_69.4,STAT5A,1924,1199
EPHB6_PKc_E13_174.1,EPHB6,990,403
ZNF557_E8_666.26,ZNF557,6992,4250
CAPN11_2220.11,CAPN11,3418,2109
ZFP36L1_E2_189.13,ZFP36L1,796,512
HIF1AN_e3_149.1,HIF1AN,3130,1885
PPARA_E6_139.3,PPARA,6940,4201
TP73_E4_51.2,TP73,2048,1273
ZBTB37_E5_156.3,ZBTB37,4754,3492
LONRF2_2265.218,LONRF2,2514,1441
KMT2C_14736.773,KMT2C,858,399
TRIM6-TRIM34_2529.196,TRIM6-TRIM34,4150,1779
TRIM34_1467.110,TRIM34,4150,1779
PRDM4_E11_169.8,PRDM4,1992,1515
MTF2_Phd1_E5_86.0,MTF2,2490,778
MMP2_1983.295,MMP2,1992,845
MINK1_PKc_E6_91.7,MINK1,1496,873
SP9_E2_162.9,SP9,2104,1669
TRIM38_1398.147,TRIM38,1734,924
ZNF541_E12_78.3,ZNF541,4638,2140
ZNF541_SANT_E12_78.3,ZNF541,4638,2140
TRIM49_6,TRIM49,1930,699
ZNF792_E4_750.47,ZNF792,3042,2064
SETDB2_e14_89.5,SETDB2,3766,1928
MAPKAPK3_PKc_E7_80.1,MAPKAPK3,2270,1026
DEAF1_E4_88.7,DEAF1,3180,2112
ZNF250_E6_1077.36,ZNF250,6436,4099
HAND2_E1_177.17,HAND2,2976,1807
GCM1_E4_113.19,GCM1,3118,1421
RNF14_1425.87,RNF14,4154,2608
TRIM59_1212.73,TRIM59,3482,1823
CTSB_1020.61,CTSB,3352,2190
ARIH2_1482.25,ARIH2,2108,1240
ANAPC7_1800.26,ANAPC7,4866,1803
KMT2D_e50_153.16,KMT2D,1936,1263
TNK2_PKc_E5_153.8,TNK2,330,217
ZNF541_E2_78.3,ZNF541,3178,1664
ABHD12B_858.59,ABHD12B,1956,838
SOX14_E1_216.27,SOX14,852,439
TGIF2LY_E2_171.10,TGIF2LY,5378,2602
SETD1B_e16_138.9,SETD1B,2538,1468
ZNF83_E6_1173.41,ZNF83,6920,3592
BIRC7_897.162,BIRC7,4510,2661
FBXW5_1701.78,FBXW5,1836,832
UBE2J1_957.96,UBE2J1,1908,607
CEBPA_E1_147.6,CEBPA,1526,721
KLHL17_BTB82189_E1_1929.28,KLHL17,2352,1434
MME_2253.151,MME,2384,1318
ZNF567_E6_1281.74,ZNF567,9682,4888
PHF13_Phd_E4_141.11,PHF13,3032,1994
MITF_E9_76.2,MITF,4648,2181
ZNF823_E4_1167.0,ZNF823,3084,1860
FIZ1_E3_1065.222,FIZ1,1010,468
RBBP6_5379.10,RBBP6,2052,767
AK1_PKc_E4_164.19,AK1,2438,1410
ZBTB44_E4_31.0,ZBTB44,3162,1617
BSX_E2_129.5,BSX,2052,1405
MMP17_1812.57,MMP17,1902,692
CDK9_e4.1,CDK9,7582,4273
ADAMTS10_3312.564,ADAMTS10,1992,1518
ZNF551_E3_1038.67,ZNF551,3874,2049
THRA_E5_148.0,THRA,3542,1764
IDE_3060.14,IDE,2156,1095
HHEX_E2_129.1,HHEX,1814,955
ZNF860_E2_750.41,ZNF860,7976,2407
ZBTB7B_BTB58178_E1_1722.356,ZBTB7B,1246,410
neg87,neg87,9472,6181
KDM5C_Phd_E21_183.19,KDM5C,1082,469
KMT2B_e37_218.11,KMT2B,2110,1219
USP30_1554.86,USP30,5712,3752
ZIM2_E11_492.32,ZIM2,4068,2405
USP7_3309.61,USP7,2056,1742
TULP3_E11_113.2,TULP3,1058,451
ZBTB2_BTB1484_E1_1545.2,ZBTB2,1038,628
ZBTB9_BTB38140_E1_1422.241,ZBTB9,3766,2298
ZNF10_E5_666.12,ZNF10,3596,1734
KMT2D_Phd3_E16_48.1,KMT2D,2100,1399
ZNF555_E4_1170.103,ZNF555,3216,1139
TRIM71_2607.389,TRIM71,5894,3321
CFI_1752.93,CFI,5042,2046
SRCAP_D_e15_170.8,SRCAP,638,162
PGA5_1167.46,PGA5,3676,1887
ZNF75D_E7_405.11,ZNF75D,4086,1498
TRIM32_1962.199,TRIM32,2482,1211
UBE2L3_639.31,UBE2L3,1790,596
ZNF586_E3_495.6,ZNF586,3446,2019
DCAF6_2856.235,DCAF6,7024,3611
G2E3_ePhd_E5_125.8,G2E3,4956,2303
G2E3_1983.146,G2E3,4956,2303
IBTK_BTB554639_E1_4062.28,IBTK,2566,1081
PARK7_570.49,PARK7,3300,1710
TRIM62_1428.6,TRIM62,2440,2001
IRAK1_PKc_E7_115.13,IRAK1,1108,645
FIZ1_E2_186.27,FIZ1,1528,897
USP43_3372.595,USP43,3312,1759
IRF2BP2_1764.145,IRF2BP2,1714,822
ZNF596_E6_906.3,ZNF596,3028,1917
DCAF8_1794.164,DCAF8,2436,1349
UBE2V1_513.27,UBE2V1,822,450
CDK5_PKc_E2_89.3,CDK5,1968,914
ADAM22_2721.58,ADAM22,466,117
UBE2Q2_1128.96,UBE2Q2,2764,1540
PHF19_Phd2_E7_96.1,PHF19,2440,1499
TRIM71_2607.2,TRIM71,1064,474
UBE2D3_2,UBE2D3,5326,2825
ZEB2_E8_1970.33,ZEB2,2288,1038
BHLHE23_E1_171.15,BHLHE23,704,408
PKNOX2_E11_77.9,PKNOX2,5064,2800
MEF2A_E3_51.0,MEF2A,7388,3349
PRMT7_e6_79.3,PRMT7,6950,5084
ADAMTS3_3618.381,ADAMTS3,3594,2052
HDAC5_e25_134.18,HDAC5,1880,900
PBX4_E6_48.0,PBX4,1386,607
KDM2A_E8_93.6,KDM2A,5044,2501
ZXDB_E1_490.50,ZXDB,1064,654
FBXL21_2,FBXL21,2002,1178
NKX1_1_E2_177.10,NKX1,1114,528
ZNF2_E5_666.44,ZNF2,1440,970
UBE2QL1_486.3,UBE2QL1,2108,1272
ZFX_E10_1119.65,ZFX,2624,1738
KDM5D_Phd1_E9_138.17,KDM5D,2682,1445
KDM2B_Phd_E14_123.12,KDM2B,6732,4687
BMPR1B_PKc_E9_176,BMPR1B,3452,1955
HES4_E1_99.8,HES4,3210,2059
CDC16_1863.145,CDC16,1170,611
KDM5B_Phd3_E26_42.0,KDM5B,1752,844
ZNF576_E3_69.5,ZNF576,3304,1704
PTK7_PKc_E18_152.5,PTK7,1224,702
SOCS7_1746.164,SOCS7,2150,928
ZNF507_E3_81.1,ZNF507,954,336
MYCBP2_14037.789,MYCBP2,1292,1117
DSTYK_PKc_E13_134.19,DSTYK,2306,1126
RNF19B_1764.56,RNF19B,2182,1173
ACY1_1227.125,ACY1,2920,1169
ZFP36L1_1017.220,ZFP36L1,874,477
ELF3_E9_76.6,ELF3,1638,918
SP4_E5_121.0,SP4,2254,1240
KMT2A_11919.710,KMT2A,1060,506
SETDB1_tudor348400_E1_3876.82,SETDB1,2144,1564
ZNF445_E8_1842.155,ZNF445,1132,532
NAALADL2_2388.3,NAALADL2,1748,1123
NFAT5_E6_114.7,NFAT5,1210,757
PARP14_Macro12271354_E1_5406.343,PARP14,1810,975
CREB1_E9_136.0,CREB1,2724,871
ING5_Phd_E6_136.13,ING5,1542,458
MAP2K7_PKc_E9_81.3,MAP2K7,1986,1777
KMT2D_ePhd2_E49_321.40,KMT2D,1360,1197
SMAD5_E4_372.0,SMAD5,2532,1286
DMTF1_SANT3_E14_152.13,DMTF1,2128,1299
ZNF571_E5_1221.85,ZNF571,3160,1311
BCL11A_E4_1326.67,BCL11A,2310,1534
INSRR_PKc_E17_213,INSRR,2266,1195
ABHD12_1215.145,ABHD12,2682,1413
ZNF117_E4_915.30,ZNF117,5320,2076
ANAPC4_2430.161,ANAPC4,960,345
SCMH1_MBT137235_E1_1983.286,SCMH1,1096,507
UNCX_E2_135.11,UNCX,1552,971
RCOR2_SANT2_E9_78.4,RCOR2,2266,1549
PDGFRA_PKc_E15_154.7,PDGFRA,3258,2003
LHX2_E4_135.1,LHX2,738,447
WT1_E8_90.4,WT1,6088,3734
ASB7_957.97,ASB7,950,657
CAMK4_PKc_E6_91.4,CAMK4,2312,1049
DCAF7_1029.53,DCAF7,1444,728
PPP1R11_381.11,PPP1R11,3708,1009
ZNF799_E4_1587.91,ZNF799,4884,2332
PGA5_1167.123,PGA5,3548,2005
ZNF600_E3_1785.45,ZNF600,2646,940
ADRBK1_PKc_E8_80.4,ADRBK1,602,365
CYHR1_1089.173,CYHR1,1240,680
MLKL_PKc_E9_50,MLKL,1890,827
XPNPEP1_61.3,XPNPEP1,4770,2925
HECTD2_2343.58,HECTD2,4978,2684
ZNF705G_E5_162.4,ZNF705G,3950,1416
ZBTB16_E6_168.9,ZBTB16,2634,1729
IPP_BTB28134_E1_1755.1,IPP,2332,1134
SIRT6_e5_96.0,SIRT6,2224,1354
THAP2_E2_184.10,THAP2,3714,1531
ZNF274_E8_552.49,ZNF274,1936,1007
SP2_E6_169.9,SP2,2900,2020
FEZF1_E4_191.11,FEZF1,3570,2159
NR1H3_E4_267.30,NR1H3,1944,1130
SIM1_E1_153.2,SIM1,5260,2274
TPP1_1692.89,TPP1,4058,2487
GZMK_795.69,GZMK,4404,2016
SPSB3_1068.144,SPSB3,2624,1727
ZBED3_E3_162.8,ZBED3,872,462
TRIM9_2133.363,TRIM9,4396,2284
RPS6KA4_PKc_E7_104.3,RPS6KA4,1090,695
TRIM49B_2,TRIM49B,1540,847
RARG_E5_142.3,RARG,3888,2007
RNF113B_969.102,RNF113B,2670,1871
KLHL15_BTB32128_E1_1815.171,KLHL15,834,368
ARID5B_E8_98.9,ARID5B,2730,1351
SHH_1389.106,SHH,2198,1381
EPHB4_PKc_E11_43,EPHB4,1938,970
SPIC_E5_252.29,SPIC,5460,3589
ZNF285_E5_1002.107,ZNF285,1960,1251
EZH1_e17_96.2,EZH1,1004,341
UBE2I_477.35,UBE2I,778,233
RNF149_1203.86,RNF149,4184,2116
GSG2_PKc_E1_1371.87,GSG2,1280,941
LHX5_E4_42.0,LHX5,1504,703
HIC1_E2_243.9,HIC1,1394,631
PHF19_Phd1_E4_73.6,PHF19,1976,990
CPN1_1377.8,CPN1,2810,1541
KAT2B_BD_e18_190.13,KAT2B,3894,1653
GGT2_1509.107,GGT2,3682,2031
TRHDE_3075.328,TRHDE,4580,3506
THRB_E5_69.5,THRB,1294,718
ZAK_PKc_E4_102.3,ZAK,1672,1062
SEBOX_E2_135.6,SEBOX,3516,1805
ZNF566_E5_570.24,ZNF566,2386,1041
NEK2_PKc_E6_48,NEK2,918,367
RCOR2_E10_81.4,RCOR2,6274,3112
RCOR2_SANT_E5_84.5,RCOR2,6274,3112
SOCS4_1323.41,SOCS4,2754,1645
SPG7_2388.192,SPG7,3404,1598
KLK1_789.59,KLK1,2662,1534
ELF1_E7_188.19,ELF1,2676,1107
ASB13_837.66,ASB13,706,360
FBXL18_2157.229,FBXL18,1098,560
TFAP2A_E7_217.24,TFAP2A,150,30
HERC1_14586.617,HERC1,5694,2307
SETDB1_e21_89.8,SETDB1,2876,2219
L3MBTL4_MBT273364_E1_1872.63,L3MBTL4,1302,556
PCSK2_1917.83,PCSK2,2612,1453
JOSD1_609.6,JOSD1,1380,748
ZNF710_E2_450.11,ZNF710,6048,3642
VPS41_2565.102,VPS41,2310,864
KDM4A_tudor9601004_E1_3195.205,KDM4A,3508,2162
ZNF268_E6_1749.61,ZNF268,5764,4344
neg2,neg2,10764,6308
ZFP30_E6_1074.71,ZFP30,3608,1576
KCNB2_BTB37136_E1_2736.366,KCNB2,3162,1379
CREB3L1_E8_67.3,CREB3L1,1642,842
PARK7_570.7,PARK7,3566,2138
RPS6KA6_PKc2_E15_123.7,RPS6KA6,1634,736
HM13_1281.187,HM13,1060,309
IRF4_E2_147.21,IRF4,1640,893
MYT1L_E14_215.21,MYT1L,3018,2021
MYOD1_E1_171.6,MYOD1,5726,3414
KCTD7_BTB53138_E1_870.12,KCTD7,1984,936
DMRT3_E1_141.10,DMRT3,6112,3508
SCPEP1_1359.13,SCPEP1,2826,1779
SMARCC2_Chromo_E7_70.4,SMARCC2,2712,1285
GRK6_PKc_E8_141.5,GRK6,604,177
TBX1_E7_57.0,TBX1,1024,480
INSM2_E1_852.162,INSM2,2294,1394
ZBTB37_BTB22122_E1_1512.198,ZBTB37,2650,1326
ZFP69B_E5_666.39,ZFP69B,4126,1699
CUL7_5349.579,CUL7,2106,909
AK1_PKc_E5_117.2,AK1,940,574
USP33_2829.34,USP33,2960,1387
USP53_3222.3,USP53,1600,854
ZNF768_E2_747.119,ZNF768,1532,622
KAT6B_Phd1_E4_97.6,KAT6B,1404,552
DCAF12L1_1392.227,DCAF12L1,3946,2250
POU6F2_E11_174.4,POU6F2,2718,1143
DMTF1_SANT2_E13_175.2,DMTF1,3026,1517
CHD3_Phd_E8_129.17,CHD3,1318,803
CASP8_130.7,CASP8,4782,2587
OLIG3_E1_174.0,OLIG3,6076,2958
KBTBD4_BTB62156_E1_1605.27,KBTBD4,3166,2065
ANPEP_2904.64,ANPEP,6532,3841
ZNF786_E4_1077.54,ZNF786,1574,876
MARCH4_1233.179,MARCH4,1892,982
ANAPC7_1800.16,ANAPC7,8500,4292
USP25_3168.24,USP25,3898,2464
SENP5_2268.128,SENP5,4286,2116
CDC42BPA_PKc_E2_92.2,CDC42BPA,686,288
PRPF8_7008.617,PRPF8,1804,1044
ZBTB4_BTB2062_E1_3042.751,ZBTB4,1212,727
TGIF1_E2_138.3,TGIF1,4334,2809
BRD4_BD1_e4_68.0,BRD4,3092,1328
KMT2A_Phd3_E14_118.1,KMT2A,2566,1703
KMT2A_11919.296,KMT2A,2566,1703
ZNF235_E5_1239.3,ZNF235,1006,648
RFWD2_2124.187,RFWD2,2490,1170
SP2_E6_169.0,SP2,4892,3411
HERC2_14505.971,HERC2,1874,880
STK3_PKc_E5_129.4,STK3,1522,657
ASB7_957.58,ASB7,2996,1448
BRAP_1779.52,BRAP,1216,558
ZNF25_E6_930.62,ZNF25,6410,3946
NR0B2_E2_220.14,NR0B2,4374,2445
FBXO48_468.5,FBXO48,908,498
PEPD_1482.101,PEPD,2734,1847
ZBTB37_E5_156.1,ZBTB37,3198,2040
SYVN1_1854.288,SYVN1,880,271
ZBTB7A_E2_68.1,ZBTB7A,5178,3827
BLMH_1368.79,BLMH,4538,2934
MEF2D_E2_51.0,MEF2D,1310,807
SHKBP1_BTB21107_E1_2124.26,SHKBP1,1768,910
MLL5_e12_118.6,MLL5,1490,819
KLF4_E5_78.2,KLF4,3454,2609
TMPRSS11B_1251.63,TMPRSS11B,2898,1894
TMPRSS4_1314.55,TMPRSS4,3814,2641
KDM4B_e9_96.7,KDM4B,2154,841
BTK_PKc_E18_158.4,BTK,2028,709
ZNF497_E3_1158.94,ZNF497,2352,1492
RNF128_1287.127,RNF128,4048,2050
UBE2G1_513.20,UBE2G1,3312,1511
IRF2BP1_1755.2,IRF2BP1,1462,1187
ZFP1_E4_723.22,ZFP1,1862,926
POU3F3_E1_174.26,POU3F3,2848,1735
RPS6KA3_PKc_E5_81.4,RPS6KA3,942,329
ARAF_PKc_E10_152.4,ARAF,2032,951
IKZF5_E5_187.0,IKZF5,2622,1600
ZNF665_E4_1497.66,ZNF665,3404,1963
USF2_E8_95.4,USF2,1962,874
ZBTB6_E2_75.1,ZBTB6,5434,4278
PITX1_E2_135.5,PITX1,3056,1986
CEBPB_E1_147.11,CEBPB,3342,2014
UHRF1_2381.355,UHRF1,1106,434
ZNF416_E4_834.69,ZNF416,4040,2065
ZNF285_E5_1002.106,ZNF285,3282,1280
TRIM55_1647.32,TRIM55,1556,1276
TRIM60_1416.119,TRIM60,4502,1645
SUV39H1_Chromo_E3_108.3,SUV39H1,1320,388
FOXO3_E1_153.13,FOXO3,2130,1481
ARID4A_E12_46.0,ARID4A,4242,1883
HTRA2_1377.149,HTRA2,2416,1218
NTRK3_PKc_E17_244.33,NTRK3,2924,1868
CUL4A_2280.210,CUL4A,468,247
MYPOP_SANT_E2_231.0,MYPOP,1456,929
ZNF45_E10_1548.164,ZNF45,3630,2017
HTRA3_1362.91,HTRA3,3678,2371
TDRD7_tudor707752_E1_3297.101,TDRD7,2396,1319
MEP1B_2106.33,MEP1B,3002,1584
ATOH1_E1_177.16,ATOH1,1522,871
MORC4_CW424471_E1_2814.79,MORC4,2156,1250
TRIM23_1725.40,TRIM23,4732,2576
ZNF583_E5_1056.59,ZNF583,2926,1261
CBX8_Chromo_E1_42.0,CBX8,2150,901
KMT2A_Phd2_E12_96.0,KMT2A,934,540
ESR1_E3_117.4,ESR1,1508,770
RNF17_tudor12321277_E1_4872.148,RNF17,1750,1191
CAMK4_PKc_E3_63,CAMK4,1126,442
PBRM1_BD1_e4_148.6,PBRM1,1098,358
PRSS1_744.27,PRSS1,2666,1564
FES_PKc_E14_119.13,FES,908,271
SOX21_E1_216.5,SOX21,1662,1086
DBX2_E3_123.4,DBX2,3808,2131
ZNF461_E6_666.29,ZNF461,3544,2672
ZNF880_E4_1221.46,ZNF880,2530,988
TRIM41_1893.276,TRIM41,2712,895
ZNF532_E11_447.27,ZNF532,2930,1735
neg23,neg23,11194,5568
CEBPE_E2_150.9,CEBPE,3854,2503
TFAP2E_E5_119.14,TFAP2E,6612,4253
MYF5_E2_76.0,MYF5,3524,2010
ZNF599_E4_993.23,ZNF599,4094,2327
ZNF710_E3_192.20,ZNF710,1864,1374
BAZ2B_Phd_E34_144.7,BAZ2B,1434,833
ZNF624_E6_1671.45,ZNF624,7914,5107
PBRM1_BD1_e5_86.5,PBRM1,1150,437
ADAMTS16_3675.86,ADAMTS16,4604,2525
TPP2_3750.252,TPP2,4088,2240
KCNA10_BTB88179_E1_1536.3,KCNA10,876,290
ZNF665_E4_1497.97,ZNF665,3286,1776
UBR1_5250.19,UBR1,3128,1510
TSC22D2_E4_168.0,TSC22D2,1928,979
SGK2_PKc_E3_42.2,SGK2,1244,503
ADAMTS15_2853.482,ADAMTS15,1650,806
ZNF415_E4_831.7,ZNF415,6370,4395
HES5_E2_159.14,HES5,3082,2544
FOXQ1_E1_237.1,FOXQ1,2200,1515
SOX21_E1_216.8,SOX21,1376,767
AZU1_756.106,AZU1,4166,3176
ARNTL2__158.6,ARNTL2,5932,4561
RXRB_E4_180.14,RXRB,5798,2417
CBX3_Chromo_E3_86.6,CBX3,3220,1319
CAPN9_2073.68,CAPN9,2396,1170
MYBL1_SANT2_E5_115.5,MYBL1,1758,855
L3MBTL1_MBT493585_E1_2523.137,L3MBTL1,1124,579
FBXO2_5,FBXO2,1236,754
NR2E1_E2_146.17,NR2E1,2326,1318
ZCWPW1_CW256303_E1_1947.58,ZCWPW1,2516,1238
RNF214_2112.123,RNF214,2298,1183
TRIM33_3384.128,TRIM33,2494,1201
RNF2_1011.70,RNF2,5008,2203
RNF141_693.34,RNF141,1574,626
RPS6KA6_PKc_E3_42.4,RPS6KA6,1036,495
USP29_2769.58,USP29,2204,986
TRIML1_1407.8,TRIML1,758,518
HSF1_E2_109.12,HSF1,2606,1681
PAX2_E2_167.33,PAX2,2116,1452
ZNF571_E5_1221.73,ZNF571,4902,2308
CPZ_1959.288,CPZ,1222,903
BTBD9_BTB33137_E1_1839.11,BTBD9,2786,1216
ASH1L_Phd_E21_66.1,ASH1L,1610,1147
GCM1_E4_113.4,GCM1,5294,3229
RCE1_990.132,RCE1,2272,1607
ZBTB40_BTB19113_E1_3720.8,ZBTB40,2320,1541
ZNF790_E5_1317.86,ZNF790,4220,2000
ROR1_PKc_E9_849.93,ROR1,1456,556
SOX10_E3_91.1,SOX10,1384,590
ATXN3_933.15,ATXN3,2594,1141
CBLB_2949.346,CBLB,2374,1787
EOMES_E1_83.11,EOMES,1570,1102
JADE3_ePhd_E7_93.5,JADE3,2988,1174
SPSB2_792.72,SPSB2,420,251
MARK4_PKc_E4_49,MARK4,3330,1908
H2AFY_Macro178364_E1_1119.81,H2AFY,1490,800
FBXL5_2076.3,FBXL5,1406,809
DPRX_E2_132.11,DPRX,7838,3779
UBE2G2_498.43,UBE2G2,696,314
RNF19A_2517.210,RNF19A,4172,2248
CUL7_5349.534,CUL7,4492,2324
DCAF15_1803.326,DCAF15,4224,2749
STK26_PKc_E7_186.1,STK26,2956,1273
RIPK1_PKc_E4_229.14,RIPK1,1616,1161
ASB3_1557.80,ASB3,5268,2749
AURKC_PKc_E6_175.14,AURKC,1090,545
UNK_2433.183,UNK,1278,976
RFX3_E8_49.0,RFX3,4514,2152
MLLT6_ePhd_E4_110.3,MLLT6,5220,4497
ZNF547_E4_495.4,ZNF547,3846,2315
KDM4C_e5_106.1,KDM4C,9548,5695
FOXP4_E14_81.0,FOXP4,780,212
TRIM7_1536.62,TRIM7,1352,579
WHSC1L1_PWWP264324_E1_4314.399,WHSC1L1,1578,944
PBRM1_BD4_e15_277.14,PBRM1,988,466
RELB_E7_132.6,RELB,1038,816
UBE4A_3201.131,UBE4A,4404,2670
ASCL2_E2_126.2,ASCL2,482,121
AREL1_2472.187,AREL1,926,420
DPP10_2403.122,DPP10,3974,1862
TFAP4_E2_111.0,TFAP4,1152,1016
ADAM7_2265.57,ADAM7,4416,2258
NFE2L3_E4_135.1,NFE2L3,3416,1683
NO66_e1_980.7,NO66,3578,2267
KLF17_E3_170.3,KLF17,5156,2901
neg63,neg63,3752,1637
SMYD3_e7_103.2,SMYD3,2588,1471
L3MBTL1_MBT385481_E1_2523.113,L3MBTL1,2788,1306
SIRT7_e5_73.8,SIRT7,1130,606
MTA1_E11_54.1,MTA1,5196,3330
MTA1_SANT_E11_57.1,MTA1,5196,3330
BARX2_E2_89.1,BARX2,4754,2891
ZBTB32_BTB23109_E1_1464.323,ZBTB32,3072,1604
TRIM64B_2,TRIM64B,1646,639
ZFP3_E2_1071.5,ZFP3,3590,1351
RNF146_1077.91,RNF146,4086,2105
SRMS_PKc_E4_121,SRMS,2260,1892
FOXR1_E4_95.3,FOXR1,3712,3407
SOCS4_1323.58,SOCS4,5698,3224
DTL_2193.246,DTL,2888,1402
PBX3_E5_136.10,PBX3,4384,2780
FOXJ1_E3_96.2,FOXJ1,2540,1097
TRIM5_1482.6,TRIM5,3038,1453
HACE1_2730.148,HACE1,2456,1201
MORF4L1_Chromo_E3_68.0,MORF4L1,2606,627
HAT1_e3_76.3,HAT1,2048,885
STK40_PKc_E5_228.1,STK40,1798,805
FOS_E3_75.3,FOS,2094,1154
HOXB13_E2_171.22,HOXB13,5684,2759
MKRN2_1251.47,MKRN2,4824,2864
KCNA6_BTB43134_E1_1590.322,KCNA6,1406,393
RNF148_918.59,RNF148,4780,2765
ATF3_E3_63.0,ATF3,4320,1692
HOXC5_E2_171.13,HOXC5,1838,980
RPS6KB2_PKc_E3_42,RPS6KB2,1328,847
RHOXF1_E1_89.3,RHOXF1,944,491
GLI3_E13_78.6,GLI3,6150,3640
AZU1_756.8,AZU1,2778,1418
THAP11_E1_234.5,THAP11,908,452
FOXM1_E5_87.7,FOXM1,812,323
HAT1_e6_73.1,HAT1,3664,1574
SPDEF_E6_173.9,SPDEF,2802,1617
BTRC_1818.142,BTRC,4334,2658
UQCRC1_1443.49,UQCRC1,3090,1907
C2_2259.208,C2,1678,1024
FXR2_Agenet69127_E1_2022.35,FXR2,2258,1228
ZBTB21_E3_873.82,ZBTB21,1502,721
PKN3_PKc_E19_143.19,PKN3,1546,869
ZFP42_E4_330.27,ZFP42,960,647
ZNF180_E5_1083.44,ZNF180,1842,920
ZEB2_E8_1970.182,ZEB2,1504,595
ZNF398_E6_246.1,ZNF398,6278,3953
HPN_1254.102,HPN,1876,962
SRCAP_D_e14_137.13,SRCAP,1892,1332
ZNF649_E5_663.7,ZNF649,2954,2140
MSX1_E2_177.5,MSX1,818,313
RNF25_1380.18,RNF25,1532,711
ZBTB39_BTB20120_E1_2139.327,ZBTB39,1694,1299
ZNF367_E3_53.0,ZNF367,4144,3816
TAF3_Phd_E7_61.5,TAF3,2748,1891
